# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 100
# Number of Events 200758
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.828874	0.171126	200758
1.218000	0.835987	0.164013	191277
1.236000	0.839632	0.160368	187244
1.254000	0.841477	0.158523	184339
1.272000	0.844491	0.155509	181533
1.290000	0.847361	0.152639	179384
1.308000	0.848680	0.151320	177558
1.326000	0.852414	0.147586	174834
1.344000	0.853802	0.146198	172349
1.362000	0.856188	0.143812	169749
1.380000	0.857737	0.142263	167233
1.398000	0.861093	0.138907	163786
1.416000	0.862139	0.137861	161837
1.434000	0.864387	0.135613	158104
1.452000	0.867121	0.132879	155465
1.470000	0.867492	0.132508	153463
1.488000	0.868799	0.131201	151554
1.506000	0.871059	0.128941	148417
1.524000	0.872593	0.127407	146122
1.542000	0.873253	0.126747	144382
1.560000	0.875474	0.124526	141191
1.578000	0.878803	0.121197	137932
1.596000	0.879333	0.120667	136566
1.614000	0.880362	0.119638	134104
1.632000	0.883636	0.116364	131046
1.650000	0.885465	0.114535	129489
1.668000	0.886246	0.113754	127881
1.686000	0.888738	0.111262	125137
1.704000	0.891401	0.108599	122008
1.722000	0.893391	0.106609	119784
1.740000	0.893729	0.106271	118377
1.758000	0.895917	0.104083	115898
1.776000	0.898946	0.101054	113573
1.794000	0.898788	0.101212	111686
1.812000	0.899789	0.100211	110427
1.830000	0.901845	0.098155	108441
1.848000	0.905280	0.094720	105490
1.866000	0.906568	0.093432	103155
1.884000	0.908293	0.091707	102021
1.902000	0.909211	0.090789	100012
1.920000	0.909849	0.090151	98990
1.938000	0.912892	0.087108	96799
1.956000	0.915802	0.084198	94135
1.974000	0.916949	0.083051	92220
1.992000	0.919212	0.080788	90273
2.010000	0.920759	0.079241	88843
2.028000	0.922912	0.077088	86797
2.046000	0.925203	0.074797	84683
2.064000	0.926518	0.073482	82360
2.082000	0.927672	0.072328	80245
2.100000	0.929066	0.070934	79200
2.118000	0.931534	0.068466	77498
2.136000	0.933088	0.066912	75816
2.154000	0.934196	0.065804	74494
2.172000	0.936331	0.063669	72845
2.190000	0.938256	0.061744	71035
2.208000	0.940617	0.059383	68993
2.226000	0.942283	0.057717	67363
2.244000	0.944813	0.055187	65613
2.262000	0.946518	0.053482	64433
2.280000	0.950773	0.049227	62324
2.298000	0.952427	0.047573	60938
2.316000	0.952631	0.047369	59681
2.334000	0.954540	0.045460	58315
2.352000	0.956423	0.043577	56911
2.370000	0.958242	0.041758	55438
2.388000	0.959834	0.040166	53976
2.406000	0.961183	0.038817	52966
2.424000	0.963068	0.036932	51662
2.442000	0.964779	0.035221	50340
2.460000	0.966877	0.033123	49090
2.478000	0.969978	0.030022	47732
2.496000	0.971213	0.028787	46444
2.514000	0.972850	0.027150	45230
2.532000	0.973077	0.026923	44237
2.550000	0.974505	0.025495	42832
2.568000	0.975132	0.024868	42344
2.586000	0.976359	0.023641	41580
2.604000	0.977160	0.022840	40894
2.622000	0.978310	0.021690	39604
2.640000	0.979290	0.020710	38821
2.658000	0.979914	0.020086	37788
2.676000	0.980296	0.019704	36744
2.694000	0.980424	0.019576	36166
2.712000	0.981700	0.018300	35137
2.730000	0.983163	0.016837	34329
2.748000	0.984729	0.015271	33658
2.766000	0.984819	0.015181	32871
2.784000	0.985612	0.014388	31694
2.802000	0.987068	0.012932	30932
2.820000	0.987948	0.012052	30285
2.838000	0.988171	0.011829	29588
2.856000	0.987998	0.012002	28661
2.874000	0.988648	0.011352	28190
2.892000	0.988922	0.011078	27622
2.910000	0.989159	0.010841	26934
2.928000	0.990033	0.009967	25885
2.946000	0.990459	0.009541	25260
2.964000	0.990934	0.009066	24378
2.982000	0.992032	0.007968	23469
