# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 300
# Number of Events 16737
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.547589	0.452411	16737
1.218000	0.550526	0.449474	16546
1.236000	0.551630	0.448370	16444
1.254000	0.552480	0.447520	16368
1.272000	0.552999	0.447001	16340
1.290000	0.554114	0.445886	16262
1.308000	0.554405	0.445595	16230
1.326000	0.554903	0.445097	16174
1.344000	0.555383	0.444617	16115
1.362000	0.556298	0.443702	16013
1.380000	0.557976	0.442024	15886
1.398000	0.559320	0.440680	15821
1.416000	0.560036	0.439964	15749
1.434000	0.561270	0.438730	15595
1.452000	0.563086	0.436914	15463
1.470000	0.564181	0.435819	15355
1.488000	0.565067	0.434933	15292
1.506000	0.566315	0.433685	15170
1.524000	0.567044	0.432956	15020
1.542000	0.567952	0.432048	14959
1.560000	0.568961	0.431039	14878
1.578000	0.570951	0.429049	14644
1.596000	0.572146	0.427854	14533
1.614000	0.573756	0.426244	14426
1.632000	0.574997	0.425003	14334
1.650000	0.576093	0.423907	14180
1.668000	0.576635	0.423365	14132
1.686000	0.577323	0.422677	14058
1.704000	0.579747	0.420253	13894
1.722000	0.583992	0.416008	13656
1.740000	0.585624	0.414376	13536
1.758000	0.586521	0.413479	13413
1.776000	0.588536	0.411464	13311
1.794000	0.590164	0.409836	13176
1.812000	0.591993	0.408007	12963
1.830000	0.593977	0.406023	12817
1.848000	0.596777	0.403223	12596
1.866000	0.599005	0.400995	12459
1.884000	0.602247	0.397753	12284
1.902000	0.603521	0.396479	12157
1.920000	0.606561	0.393439	11979
1.938000	0.609428	0.390572	11816
1.956000	0.612380	0.387620	11648
1.974000	0.615090	0.384910	11478
1.992000	0.618061	0.381939	11295
2.010000	0.620972	0.379028	11110
2.028000	0.624781	0.375219	10855
2.046000	0.628721	0.371279	10682
2.064000	0.632484	0.367516	10473
2.082000	0.635958	0.364042	10301
2.100000	0.638394	0.361606	10163
2.118000	0.643303	0.356697	9930
2.136000	0.645040	0.354960	9849
2.154000	0.649663	0.350337	9645
2.172000	0.654304	0.345696	9410
2.190000	0.658653	0.341347	9234
2.208000	0.663719	0.336281	8933
2.226000	0.667960	0.332040	8764
2.244000	0.669069	0.330931	8603
2.262000	0.674605	0.325395	8356
2.280000	0.681007	0.318993	8066
2.298000	0.683964	0.316036	7901
2.316000	0.686026	0.313974	7800
2.334000	0.691859	0.308141	7542
2.352000	0.694830	0.305170	7350
2.370000	0.699693	0.300307	7166
2.388000	0.703533	0.296467	6962
2.406000	0.706739	0.293261	6796
2.424000	0.709250	0.290750	6638
2.442000	0.715676	0.284324	6373
2.460000	0.721661	0.278339	6140
2.478000	0.724758	0.275242	6002
2.496000	0.727992	0.272008	5816
2.514000	0.730973	0.269027	5676
2.532000	0.734613	0.265387	5573
2.550000	0.737325	0.262675	5444
2.568000	0.739531	0.260469	5325
2.586000	0.744648	0.255352	5185
2.604000	0.750943	0.249057	5035
2.622000	0.754138	0.245862	4954
2.640000	0.755679	0.244321	4842
2.658000	0.759650	0.240350	4689
2.676000	0.762400	0.237600	4617
2.694000	0.767274	0.232726	4443
2.712000	0.771222	0.228778	4288
2.730000	0.774512	0.225488	4151
2.748000	0.776609	0.223391	4087
2.766000	0.778861	0.221139	4002
2.784000	0.785550	0.214450	3903
2.802000	0.792483	0.207517	3725
2.820000	0.794457	0.205543	3644
2.838000	0.795861	0.204139	3576
2.856000	0.797548	0.202452	3507
2.874000	0.799360	0.200640	3439
2.892000	0.799761	0.200239	3351
2.910000	0.802684	0.197316	3279
2.928000	0.804422	0.195578	3211
2.946000	0.808307	0.191693	3130
2.964000	0.807605	0.192395	3077
2.982000	0.809556	0.190444	2951
