# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 250
# Number of Events 67758
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.843649	0.156351	67758
1.218000	0.845243	0.154757	67105
1.236000	0.846459	0.153541	66829
1.254000	0.846861	0.153139	66482
1.272000	0.847087	0.152913	66286
1.290000	0.847543	0.152457	66025
1.308000	0.848542	0.151458	65794
1.326000	0.849997	0.150003	65532
1.344000	0.850941	0.149059	65169
1.362000	0.851895	0.148105	64738
1.380000	0.853612	0.146388	64288
1.398000	0.853796	0.146204	63986
1.416000	0.854180	0.145820	63544
1.434000	0.854887	0.145113	62999
1.452000	0.855381	0.144619	62433
1.470000	0.855542	0.144458	62115
1.488000	0.855492	0.144508	61540
1.506000	0.855454	0.144546	60991
1.524000	0.856479	0.143521	60486
1.542000	0.857336	0.142664	59980
1.560000	0.858399	0.141601	59371
1.578000	0.860404	0.139596	58526
1.596000	0.861228	0.138772	58052
1.614000	0.861171	0.138829	57661
1.632000	0.862275	0.137725	57041
1.650000	0.864220	0.135780	56179
1.668000	0.864260	0.135740	55761
1.686000	0.864601	0.135399	55111
1.704000	0.866593	0.133407	54300
1.722000	0.868117	0.131883	53540
1.740000	0.868064	0.131936	53041
1.758000	0.868986	0.131014	52483
1.776000	0.869873	0.130127	51957
1.794000	0.870044	0.129956	51502
1.812000	0.870428	0.129572	51022
1.830000	0.872004	0.127996	50275
1.848000	0.873573	0.126427	49404
1.866000	0.875086	0.124914	48225
1.884000	0.876635	0.123365	47542
1.902000	0.877671	0.122329	46661
1.920000	0.878523	0.121477	46190
1.938000	0.879816	0.120184	45372
1.956000	0.882648	0.117352	44456
1.974000	0.883732	0.116268	43374
1.992000	0.886174	0.113826	42240
2.010000	0.888273	0.111727	41503
2.028000	0.891495	0.108505	40496
2.046000	0.893402	0.106598	39635
2.064000	0.893803	0.106197	38777
2.082000	0.894352	0.105648	38032
2.100000	0.896345	0.103655	37374
2.118000	0.899592	0.100408	36262
2.136000	0.901489	0.098511	35326
2.154000	0.903416	0.096584	34747
2.172000	0.906115	0.093885	33690
2.190000	0.909060	0.090940	32725
2.208000	0.911378	0.088622	31764
2.226000	0.913238	0.086762	31085
2.244000	0.915435	0.084565	30036
2.262000	0.919046	0.080954	29239
2.280000	0.925342	0.074658	27887
2.298000	0.927021	0.072979	26994
2.316000	0.927588	0.072412	26446
2.334000	0.929349	0.070651	25902
2.352000	0.931954	0.068046	24895
2.370000	0.934579	0.065421	23983
2.388000	0.936531	0.063469	23224
2.406000	0.937780	0.062220	22806
2.424000	0.940830	0.059170	22224
2.442000	0.942460	0.057540	21272
2.460000	0.945953	0.054047	20593
2.478000	0.950928	0.049072	19889
2.496000	0.953975	0.046025	19359
2.514000	0.956409	0.043591	18582
2.532000	0.956833	0.043167	18162
2.550000	0.957963	0.042037	17651
2.568000	0.958882	0.041118	17243
2.586000	0.961628	0.038372	16731
2.604000	0.962961	0.037039	16199
2.622000	0.963479	0.036521	15635
2.640000	0.965116	0.034884	15193
2.658000	0.965754	0.034246	14688
2.676000	0.966676	0.033324	14404
2.694000	0.966833	0.033167	14050
2.712000	0.969437	0.030563	13382
2.730000	0.971222	0.028778	12857
2.748000	0.973340	0.026660	12453
2.766000	0.973695	0.026305	12165
2.784000	0.974396	0.025604	11678
2.802000	0.977287	0.022713	11271
2.820000	0.978943	0.021057	10875
2.838000	0.978889	0.021111	10563
2.856000	0.978606	0.021394	10330
2.874000	0.979970	0.020030	10085
2.892000	0.980635	0.019365	9863
2.910000	0.981395	0.018605	9675
2.928000	0.981857	0.018143	9370
2.946000	0.982519	0.017481	8981
2.964000	0.983858	0.016142	8611
2.982000	0.984699	0.015301	8235
